index,name_1,name_1_upd
0,Iko Industries Ltd.,Iko
1,Apcotex Industries Ltd.,Apcotex
2,"Rishichem Distributors Pvt., Ltd.",Rishichem Distributors
3,Powermax Rubber Factory,Powermax Factory
4,Tress A/S,Tress
5,Wpt Mexico Sa De Cv,Wpt
6,National Bank Of,National Bank Of
7,Citibank Korea Inc.,Citibank Korea
8,Prettl Electric Del Bajio S.A. De C.V.,Prettl Electric Del Bajio
9,"Beijing Zhongyi Rongda Tech Trading Co., Ltd.",Beijing Zhongyi Rongda Tech
10,R.I.Intl,R I Intl
11,Angle Industries Ltd.,Angle
12,Bestocean Worldwide Logistics Inc.,Bestocean Worldwide
13,Uni Trans Illinois Consolidated Inc.,Uni Trans Illinois Consolidated
14,Warehouse Jonesboro,Warehouse Jonesboro
15,Ktn Underwood Arlanxeo Usa Llc,Ktn Underwood Arlanxeo Usa
16,Wynn Express Corp,Wynn Express Corp
17,Parker Industrials De Rl De Cv,Parker Industrials Rl
18,Air Sea Transport (Chicago) Inc.,Air Sea Transport Chicago
19,"Shanghai Scientific Instruments And Materials Co., Ltd.",Shanghai Scientific Instruments And Materials
20,Faj International,Faj
21,Galata Chemicals Llc,Galata Chemicals
22,Battery Technology Inc.,Battery Technology
23,Ksb Shipping & Logistics Llc,Ksb Shipping
24,H.R. International,H R
25,S.R. International,S R
26,D S International,D
27,"Huizhou City Sanhe Industrial Co., Ltd.",Huizhou City Sanhe
28,Palziv North America,Palziv North America
29,Salnik Solutions,Salnik Solutions
30,"Qingdao Dongyong Changshi Logistics Co., Ltd.",Qingdao Dongyong Changshi
31,Hyundai Polytech India Private Ltd.,Hyundai Polytech
32,Ametek Lamb Motores De Mexico Sa De Cv,Ametek Lamb Motores
33,"Precision Adhesive Tapes Pvt., Ltd.",Precision Adhesive Tapes
34,"Ask Automotive Pvt., Ltd.",Ask Automotive
36,Nri Inc.,Nri
37,"Guangzhou Rihang Electronics Co., Ltd.",Guangzhou Rihang Electronics
38,Vc Imp.,Vc
39,Isoliererzeugnisse GroBrohrsdorf Gmbh,Isoliererzeugnisse GroBrohrsdorf Gmbh
40,Bpi Brake Mfg. Juarez Sa De Cv,Bpi Brake Mfg Juarez
41,Sikamyanmar Ltd.,Sikamyanmar
42,Giltec Lda,Giltec Lda
43,"Junky Enterprise Co. Pte., Ltd.",Junky Enterprise Pte
44,Elite Int.Engineering And Trading L,Elite Int Engineering And L
45,Dsi,Dsi
46,Kingdom Imp. & Exp. . Private Ltd.,Kingdom
47,Oz Ka Lastik Kaucuk San Tic A.S.,Oz Ka Lastik Kaucuk San Tic A S
48,Pt Pulcra Chemicals Indonesia,Pt Pulcra Chemicals Indonesia
49,Rim Logistics Los Angeles Office,Rim Los Angeles Office
50,"Shanghai Asakawagumi International Transport Co., Ltd.",Shanghai Asakawagumi Transport
51,Infinite Cr Strips Industries Ltd.,Infinite Cr Strips
52,Esterline Defense Technologies,Esterline Defense Technologies
53,Hindustan Rubber Trading Co.,Hindustan
54,"Dongguan Best Foison Imp. & Exp. Co., Ltd.",Dongguan Best Foison
55,"Parker Hannifin India Pvt., Ltd.",Parker Hannifin
56,Asfaltos Mesoamericanos Sa De Cv,Asfaltos Mesoamericanos
57,IKO SLOVAKIA,IKO SLOVAKIA
58,Smarti Distribuidora Ltda,Smarti Distribuidora
59,Best United India Comforts Private Ltd.,Best United Comforts
60,Bitumenka D.D.,Bitumenka D D
61,"Shanghai Longchou Plastic Mould Co., Ltd.",Shanghai Longchou Plastic Mould
62,Asfaltos Chova Sa,Asfaltos Chova
63,"Asphalt, tar and bitumen",Asphalt tar and bitumen
64,Chang Xing Rubber (Shanghai) Llc,Chang Xing Shanghai
65,Translogistic Sa De Cv,Translogistic
66,Golden Fortune Stan Philippine,Golden Fortune Stan Philippine
67,National Bank Of Pakistan,National Bank Of Pakistan
68,"Shanghai Star Industries Co., Ltd.",Shanghai Star
69,Industrias Cadi S.A.,Industrias Cadi
70,Ganpati General Trading Llp,Ganpati General Llp
71,Crown Belting Industries,Crown Belting
72,Trp International Inc.,Trp
73,"Shanghai Yading Trading Co., Ltd.",Shanghai Yading
74,Vietnam Bank For Agriculture And Ru,Vietnam Bank For Agriculture And Ru
75,Brx Cargo Logistics,Brx Cargo
76,Industrias Negromex S.A. De C.V.,Industrias Negromex
77,Cbol Corp,Cbol Corp
78,Mrf Corporation,Mrf
79,Speed Power And Stability Systems,Speed Power And Stability Systems
80,Mediterranean Textile Co.,Mediterranean Textile
81,"Shanghai Honghui Optics Communication Material Co., Ltd.",Shanghai Honghui Optics Communication Material
82,Kase Logistics (Canada) Ltd.,Kase Canada
83,Stp Ltd.,Stp
84,Cikautxo India Private Ltd.,Cikautxo
85,Albaraka Bank Pakistan ( Ltd.),Albaraka Bank Pakistan Ltd
86,Dystar Lp,Dystar Lp
87,Co. One,One
88,Interchemica S.A. De C. V.,Interchemica C V
89,Rogers Corporation,Rogers
90,Betunel Industria E Comercio Ltda,Betunel Industria E Comercio
91,Jus International Inc.,Jus
92,Owl Transportes Internacionais Ltda,Owl Transportes Internacionais
93,Atlanta Trading Co. Inc.,Atlanta
94,COCOPAVING,COCOPAVING
95,"Ricoeur Warehouse Logistics (Shanghai) Co., Ltd.",Ricoeur Warehouse Shanghai
96,"Yongguang Industry (Shaoguan) Co., Ltd.",Yongguang Industry Shaoguan
98,Master International,Master
99,Superseal Construction Products,Superseal Construction
100,"Hella India Automotive Pvt., Ltd.",Hella Automotive
101,Covestro ( India) Private Ltd.,Covestro India
102,Crown Asia Chemicals Corporation,Crown Asia Chemicals
103,"Kaifeng Chemical Co., Ltd.",Kaifeng Chemical
104,Austria Puma Dassler Gmb H,Austria Puma Dassler Gmb H
105,Adk International,Adk
106,"Sanhe Yinpaihe Automotive Parts Co., Ltd.",Sanhe Yinpaihe Automotive Parts
107,"Shen Yang Jin Bei Jiang Sen Controlling Automobile Interior Ornament Co., Ltd.",Shen Yang Jin Bei Jiang Sen Controlling Automobile Interior Ornament
108,Air India Ltd.,Air
109,"Yadeng Plastics & Hardware (Shenzhen) Co., Ltd.",Yadeng Plastics Hardware Shenzhen
110,M.E. International Trading W.L.L.,M E W L L
111,Translink Shipping (Canada) Inc.,Translink Shipping Canada
112,Telma Telecommunication Services Private Ltd.,Telma Telecommunication Services
113,Louis Vuitton India Retail Private Ltd.,Louis Vuitton Retail
114,Shenzhen Shuntaicang Logistics. Ltd.,Shenzhen Shuntaicang Logistics
115,BIT-MAT PRODUCTS,BIT MAT PRODUCTS
116,Legaspi Imp. & Exp. Corp,Legaspi Corp
117,Molex De Mexico Sa De Cv,Molex
118,Naca Logistics Usa Inc. Dba Vanguard,Naca Usa Dba Vanguard
119,Alidot Srl .,Alidot Srl
120,Vitesco Technologies Usa Llc,Vitesco Technologies Usa
121,Fei Marketing,Fei Marketing
122,Yasmin Spinning Mills Ltd.,Yasmin Spinning Mills
123,TUBA TABAN,TUBA TABAN
124,C V International Inc.,C V
125,Lalan Rubbers Private Ltd.,Lalan Rubbers
126,Comercial E Industr. Esyter S,Comercial E Industr Esyter
127,Goessl Flooring Inc.,Goessl Flooring
128,"Mintech"" Llc",Mintech
129,Uil Electronics India Private Ltd.,Uil Electronics
130,Srf Ltd.,Srf
131,"Hangzhou Fu Li Deng Plastics Electric Co., Ltd.",Hangzhou Fu Li Deng Plastics Electric
